Source_File,ID,Task description,Task reference,CAT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LOSS OF THE LEAK DETECTION LOOP A ON THE LEFT WING,TSM 36-22-00-810-807-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LEAK DETECTION FROM THE LOOP A IN THE LEFT WING,TSM 36-22-00-810-825-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LEAK DETECTION ON THE ENGINE 2 PYLON,TSM 36-22-00-810-831-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATIONS ON THE BLEED SD PAGE,MEL 36-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ENGINE BLEED AIR SUPPLY SYSTEM,MEL 36-11-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,APU BLEED AIR SUPPLY SYSTEM,MEL 36-12-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE VACUUM TOILET SYSTEM,AMM 38-31-00-710-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BITE TEST OF THE VACUUM TOILET SYSTEM,AMM 38-31-00-740-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE ATSU,AMM 46-21-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,VHF 3 LINK TEST OF THE ATSU,AMM 46-21-00-710-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BITE TEST OF THE ATIMS,AMM 46-21-00-740-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,UPLOADING OF THE ATSU SOFTWARE COMPONENT,AMM 46-21-00-610-,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INITIALIZATION PROCEDURE OF THE ATSU ROUTER,AMM 46-21-00-860-001-A,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,APU AUTO SHUTDOWN - (131-9(A)),TSM 49-00-81-810--A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,APU ON MAINT STATUS,TSM 49-00-81-810-861-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,POWER PLANT (APU),MEL 49-10-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,APU AIR INTAKE FLAP,MEL 49-10-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE COCKPIT-DOOR LOCKING SYSTEM (CDLS),AMM 52-51-00-710-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE STRIKE,AMM 52-51-12-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FAULT OF THE COCKPIT DOOR LOCKING SYSTEM (CDLS) - GENERAL,TSM 52-51-00-810-801-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FAULT OF THE COCKPIT DOOR LOCK SYSTEM -OPEN LAMP STAYS ON,TSM 52-51-00-810-803-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATIONS ON THE DOOR/OXY SD PAGE,MEL 52-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CARGO DOOR ELECTRICAL CONTROL,MEL 52-30-03,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CARGO DOORS OPEN/LOCKED INDICATOR LIGHT,MEL 52-30-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,COCKPIT DOOR FAULT LIGHT,MEL 52-53-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE FADEC ON THE GROUND (WITH ENGINE NONMOTORING),AMM 73-29-00-710-040-B02,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CORRECT FAULTS OF THE ENGINE SCHEDULED MAINTENANCE REPORT (SMR),AMM 73-21-60-740-028-B,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,VISUAL INSPECTION OF THE POWER PLANT WIRE HARNESS,AMM 71-50-00-210-001-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CONTINUITY CHECK OF THE POWER PLANT WIRE HARNESS,AMM 71-50-00-280-001-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SHORTED WIRE AND INSULATION RESISTANCE CHECK OF THE POWER PLANT WIRE HARNESS,AMM 71-50-00-280-002-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REPLACEMENT ENGINE HARNESS,71-51 71-52,I/C-R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE,AMM,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,DEACTIVATION/ REACTIVATION OF THRUST REVERSER,AMM 78-30-00-04,D/R
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,IGNITION SYSTEM A,MEL 74-31-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,IGNITION SYSTEM B,MEL 74-31-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OIL INDICATIONS ON THE ENGINE SD PAGE,MEL 79-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,THRUST REVERSER,MEL 78-30-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,TEST NO.7 - EEC OPERATION TEST (SELF TEST),AMM 73-21-00-710-806-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CORRECT FAULTS OF THE ENGINE SCHEDULED MAINTENANCE REPORT (SMR),AMM 73-21-00-740-803-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ELECTRONIC ENGINE CONTROL (EEC) - REMOVAL/INSTALLATION,AMM 73-21-01-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,EIU - REMOVAL/INSTALLATION,AMM 73-25-34-04,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF HARNESS,AMM 73-21,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,DEACTIVATION/ REACTIVATION OF THRUST REVERSER,AMM 78-30-00-04,D/R
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ENERGIZE THE AIRCRAFT ELECTRICAL CIRCUITS FROM THE EXTERNAL POWER,AMM 24-41-00-861-002-A,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ENERGIZE THE AIRCRAFT ELECTRICAL CIRCUITS FROM THE APU,AMM 24-41-00-861-002-A01,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ZONAL INSPECTION AS FAR AS VISIBLE FROM THE GROUND OF THE LANDING GEAR AND THE LANDING GEAR DOORS,AMM 05-27-00-200-001-A,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION/CHECK OF THE WHEELS AND TIRES,AMM 32-41-00-210-002-A,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION/CHECK OF THE BRAKE WITH THE WHEEL INSTALLED,AMM 32-42-27-210-001-A,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION OF THE MLG SHOCK ABSORBERS BEFORE FLIGHT,AMM 12-14-32-200-001-A,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,GENERAL VISUAL INSPECTION AS FAR AS VISIBLE FROM THE GROUND OF THE LOWER HALF OF THE FUSELAGE,AMM 05-21-00-200-001-A,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,"ZONAL INSPECTION AS FAR AS VISIBLE FROM THE GROUND OF THE POWER PLANT, THE NACELLES AND THE PYLONS",AMM 05-24-00-200-001-A,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ZONAL INSPECTION OF THE WINGS AS FAR AS VISIBLE FROM THE GROUND,AMM 05-25-00-200-001-A,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ZONAL INSPECTION AS FAR AS VISIBLE FROM THE GROUND OF THE LANDING GEAR AND THE LANDING GEAR DOORS,AMM 05-27-00-200-001-A,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ZONAL INSPECTION OF THE DOORS AS FAR AS VISIBLE FROM THE GROUND,AMM 05-28-00-200-001-A,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION OF THE STATIC PORT,AMM 34-11-16-200-001-A,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION/CHECK OF THE TAT SENSOR,AMM 34-11-18-200-002-A,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION/CHECK OF THE PITOT PROBE,AMM 34-11-15-200-001-A,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION OF THE ANGLE-OF-ATTACK SENSOR,AMM 34-11-19-200-001-A,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DRAIN WATER CONTENT,AMM 12-32-28-281-001-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION/CHECK OF THE TIRE PRESSURE,AMM 32-41-00-210-003-A,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK OF THE RESERVOIR QUANTITY INDICATION ON THE ECAM DISPLAY UNIT,AMM 29-30-00-200-002-A,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,SERVICING OF THE TOILET SYSTEM,AMM 12-16-38-613-001-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DRAINING OF THE POTABLE WATER SYSTEM (WITH ELECTRICAL POWER),AMM 12-24-38-680-001-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FILL THE POTABLE WATER TANK SYSTEM (AIRCRAFT ELECTRICAL POWER AVAILABLE),AMM 12-15-38-613-001-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DRAINING OF THE POTABLE WATER SYSTEM (WITHOUT ELECTRICAL POWER),AMM 12-24-38-680-002-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FILL THE POTABLE WATER TANK SYSTEM (AIRCRAFT ELECTRICAL POWER NOT AVAILABLE),AMM 12-15-38-613-002-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL OF THE AIRCRAFT PROTECTION EQUIPMENT,AMM 10-11-00-555-014-A,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,TEMPORARY SKIN PROTECTION USING HIGH SPEED TAPE,SRM 51-77-12-911-001 SRM 51-77-13-911-009,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PROCEDURE FOR THE INSTALLATION OF WHEEL CHOCKS ON AIRCRAFT,AMM 10-11-00-555-015-A,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSTALLATION OF THE SAFETY DEVICES ON THE LANDING GEARS,AMM 32-00-00-481-001-A,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE NAVIGATION LIGHTS,AMM 33-41-00-710-001-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE LANDING LIGHTS,AMM 33-42-00-710-001-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE RUNWAY TURNOFF LIGHTS,AMM 33-43-00-710-001-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE TAXI AND TAKE OFF LIGHTS,AMM 33-46-00-710-001-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE LOGO LIGHTS,AMM 33-47-00-710-002-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE ANTI-COLLISION/STROBE LIGHTING,AMM 33-48-00-710-002-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE WING AND ENGINE SCAN LIGHTS,AMM 33-49-00-710-001-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE GENERAL ILLUMINATION,AMM 33-21-00-710-001-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DETAILED INSPECTION OF THE WASTE COMPARTMENT INCLUDING WASTE FLAP AND OPERATIONAL CHECK OF WASTE FLAP,AMM 25-40-00-210-001-A,DI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,GENERAL VISUAL INSPECTION OF THE MAIN LANDING GEAR,AMM 32-11-00-200-001-A,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ZONAL INSPECTION AS FAR AS VISIBLE FROM THE GROUND OF THE STABILIZERS AND THE CONE/REAR FUSELAGE,AMM 05-23-00-200-001-A,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DE-ENERGIZE THE AIRCRAFT ELECTRICAL CIRCUITS SUPPLIED FROM THE EXTERNAL POWER,AMM 24-41-00-862-002-A,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,DE-ENERGIZE THE AIRCRAFT ELECTRICAL CIRCUITS SUPPLIED FROM THE APU,AMM 24-41-00-862-002-A01,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PRESSURE REFUEL WITH AUTOMATIC CONTROL,AMM 12-11-28-650-003,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PRESSURE REFUEL WITH MANUAL CONTROL,AMM 12-11-28-650-004,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PRESSURE REFUEL WITHOUT ELECTRICAL POWER,AMM 12-11-28-650-005,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PROCEDURE TO USE THE FQIC INPUT PARAMETERS TO FIND THE PITCH AND ROLL DATA,AMM 12-11-28-860-002,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,USE OF MAGNETIC LEVEL INDICATORS (MLI),AMM 12-11-28-650-007,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,PRESSURE DEFUELING,AMM 28-25-00-650-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FUEL TRANSFER,AMM 28-25-00-869-001,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,TIRE MIXABILITY PRECAUTIONS,AMM 32-41-00-910-001,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,WHEELS- INSPECTION/CHECK,AMM,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE MLG WHEEL,AMM 32-41-11-000/400-006-A,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE NLG WHEEL,AMM 32-41-12-000/400-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,BRAKE – INSPECTION/CHECK,AMM 32-42-27-06,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE BRAKE ASSEMBLY,AMM 32-42-27-000/400-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REPLACEMENT OF THE MEGAPHONE BATTERIES,AMM 25-65-51-920-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE MEGAPHONE,AMM 25-65-51-710-002,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,LIFE VEST- REMOVAL/INSTALLATION,AMM 25-66-52-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,VISUAL INSPECTION OF THE FIRST AID EQUIPMENT,AMM 25-64-00-200-001,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/INSTALLATION OF THE PROTECTIVE BREATHING EQUIPMENT,AMM 35-32-52-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION/CHECK OF THE PORTABLE FIRE EXTINGUISHERS,AMM 26-24-00-210-001,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CHECK PRESSURE GAUGE READING PORTABLE FIRE EXTINGUISHERS,AMM 26-24-00-210-002,GVI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,INSPECTION/CHECK OF THE PORTABLE OXYGEN,AMM 35-30-00-06,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OVEN - REMOVAL/INSTALLATION,AMM 25-35-19-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE OVEN,AMM 25-35-00-710-015-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,WATER BOILER - REMOVAL/INSTALLATION,AMM 25-35-27-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPERATIONAL TEST OF THE WATER BOILER/HEATER,AMM 25-35-00-710-023-A,FOT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/INSTALLATION OF THE COCKPIT DOME LIGHT,AMM 33-12-11-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/INSTALLATION OF THE MAP TABLE LIGHTS,AMM 33-12-13-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/INSTALLATION OF THE MAIN INSTRUMENT-PANEL LIGHTS AND PANEL CENTER-LIGHT,AMM 33-12-13-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/INSTALLATION OF THE CENTER PEDESTAL LIGHT,AMM 33-12-14-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE LAMP IN THE WINGTIP NAVIGATION LIGHT,AMM 33-41-11-000/400-002,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE LAMP(S) OF THE TAIL NAVIGATION LIGHT,AMM 33-41-15-000/400-002,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE LANDING LIGHT LAMP,AMM 33-42-11-000/400-002,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REPLACEMENT OF THE LAMP OF THE RUNWAY TURNOFF LIGHT,AMM 33-43-11-960-002,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REPLACEMENT OF THE LAMP IN THE TAKE OFF LIGHT,AMM 33-46-11-960-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REPLACEMENT OF THE LAMP IN THE TAXI LIGHT,AMM 33-46-12-960-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/INSTALLATION OF THE LOGO LIGHT,AMM 33-47-11-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/INSTALLATION OF THE FLASH TUBE ASSEMBLY OF THE UPPER/ LOWER BEACON LIGHT,AMM 33-48-11-04 AMM 33-48-12-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/INSTALLATION OF THE TAIL CONE STROBE-LIGHT,AMM 33-48-13-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/INSTALLATION OF THE STROBE LIGHT,AMM 33-48-14-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CABIN EMERGENCY LIGHTS - LAMP REPLACEMENT,AMM 33-51-11-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CABIN WALL-MOUNTED EMERGENCY-EXIT-MARKERS LAMP REPLACEMENT,AMM 33-51-13-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REPLACEMENT OF THE EMERGENCY EXIT SIGN,AMM 33-51-16-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE WIPER BLADE,AMM 30-45-53-000/400-001,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,ALTERNATE ADJUSTMENT OF THE WIPER ARM,AMM Subtask 30-45-52-820-050A AMM Subtask 30-45-52-820-052A,AT
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CAPTAIN/FIRST OFFICER - INSPECTION/CHECK,AMM 25-11-51-06,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,THIRD OCCUPANT - INSPECTION/CHECK,AMM  25-11-41-06,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,FOURTH OCCUPANT - INSPECTION/CHECK,AMM 25-11-42-06,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CABIN ATTENDANT SEAT - INSPECTION/CHECK,AMM 25-22-00-06,I/C
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,"INSPECTION OF SEAT ATTACHMENTS, SEAT STRUCTURE, SEAT BELTS, BUCKLES AND BAGGAGE BAR",AMM 25-21-00-210-001-A,DI
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE SEAT BELTS - PAX,AMM 25-21-42-000/400-002,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE FAN COWL DOORS (CFM56),AMM 71-13-00-010/410-040,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE FAN COWL DOORS (PW1100),AMM 71-13-00-010/410-802,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE THRUST REVERSER DOORS (CFM56),AMM 78-36-00-010/410-040,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE THRUST REVERSER DOORS (PW1100),AMM 78-36-00-010/410-802,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE AVIONICS COMPARTMENT DOORS,AMM 52-41-00-010/410-002,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE MAIN GEAR DOOR,AMM 32-12-00-010/410-001,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE NOSE GEAR DOOR,AMM 32-22-00-010/410-001,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,OPEN/ CLOSE THE APU DOORS,AMM 52-41-00-010/410-001,M/P
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE WATER FAUCET,AMM 38-12-41-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,TOILET DEACTIVATION: MANUAL SHUT-OFF VALVE CLOSURE,AMM 38-12-00-01,D/R
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,CLEAN FILTER ELEMENT OF WASHBASIN DRAIN VALVES,AMM 38-32-00-100-002-A,SGH
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE LAVATORY MIRROR,AMM 25-45-13-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE SOAP DISPENSER,AMM 25-45-14-04,R/I
CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT A VJC only 2023.doc,,REMOVAL/ INSTALLATION OF THE TOILET SHROUD AND THE SEAT,AMM 25-45-22-04,R/I
